file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,66,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,10
style.css,67,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,13
style.css,68,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,59
style.css,69,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,8
style.css,70,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,71,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,8
style.css,72,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,27
style.css,73,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,16
style.css,74,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,75,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,76,css,88a7de43,Nomin Batjargal,2025-02-08,23:47:14,-08:00,2025-02-08T23:47:14-08:00,0,15
style.css,77,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,9
style.css,78,css,88a7de43,Nomin Batjargal,2025-02-08,23:47:14,-08:00,2025-02-08T23:47:14-08:00,0,18
style.css,79,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,80,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,81,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,0
style.css,82,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,3
style.css,83,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,15
style.css,84,css,91074c12,Nomin Batjargal,2025-01-17,22:13:04,-08:00,2025-01-17T22:13:04-08:00,0,16
style.css,85,css,4dfd9a74,Nomin Batjargal,2025-01-17,23:43:15,-08:00,2025-01-17T23:43:15-08:00,0,18
style.css,86,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,0
style.css,87,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,0
style.css,88,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,19
style.css,89,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,18
style.css,90,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,8
style.css,91,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,10
style.css,92,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,14
style.css,93,css,b1a7edc2,Nomin Batjargal,2025-01-24,21:06:22,-08:00,2025-01-24T21:06:22-08:00,0,13
style.css,94,css,1cf2f244,Nomin Batjargal,2025-01-24,22:28:42,-08:00,2025-01-24T22:28:42-08:00,0,7
style.css,95,css,1cf2f244,Nomin Batjargal,2025-01-24,22:28:42,-08:00,2025-01-24T22:28:42-08:00,0,18
style.css,96,css,1cf2f244,Nomin Batjargal,2025-01-24,22:28:42,-08:00,2025-01-24T22:28:42-08:00,0,0
style.css,97,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,98,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,99,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,8
style.css,100,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,3
style.css,101,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,12
style.css,102,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,70
style.css,103,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,18
style.css,104,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,105,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,2
style.css,106,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,44
style.css,107,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,108,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,5
style.css,109,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,16
style.css,110,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,111,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,11
style.css,112,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,13
style.css,113,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,8
style.css,114,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,15
style.css,115,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,116,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,4
style.css,117,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,11
style.css,118,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,12
style.css,119,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,120,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,14
style.css,121,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,9
style.css,122,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
style.css,123,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,14
style.css,124,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,16
style.css,125,css,f19e8c3f,Nomin Batjargal,2025-01-31,21:09:47,-08:00,2025-01-31T21:09:47-08:00,0,0
